id,image,brix,check,judge
1,bbrix1.JPG,17,,non-ripe
2,bbrix2-1.JPG,20,,rotten
3,bbrix2-2.JPG,20,,rotten
4,bbrix3.JPG,22,,non-ripe
5,bbrix4-1.JPG,17,,non-ripe
6,bbrix4-2.JPG,17,,non-ripe
7,bbrix5-1.JPG,19,,non-ripe
8,bbrix5-2.JPG,19,,non-ripe
10,bbrix6-2.JPG,21,,sweet
11,bbrix7.JPG,22,,sweet
18,bbrix11-1.JPG,21,,sweet
20,bbrix12.JPG,20,n,non-ripe
21,bbrix13.JPG,20,n,non-ripe
22,bbrix14.JPG,20,?,sweet
23,bbrix15.JPG,20,?,sweet
24,bbrix16.JPG,21,n,non-ripe
25,bbrix17.JPG,19,n,sweet
28,bbrix19.JPG,20,,rotten
29,bbrix20.JPG,20,,sweet
30,bbrix21-1.JPG,20,,sweet
31,bbrix21-2.JPG,20,,sweet
32,bbrix22.JPG,,,rotten
33,bbrix23.JPG,,,rotten
34,bbrix24.JPG,,,rotten
35,bbrix25.JPG,,,rotten
36,bbrix26.JPG,,,rotten
37,bbrix27.JPG,,,rotten
38,bbrix28.JPG,,,sweet
39,bbrix29.JPG,,,rotten
40,bbrix30.JPG,,,sweet
41,bbrix31.JPG,,,sweet
42,bbrix32.JPG,,,sweet
43,bbrix33.JPG,,,rotten
44,bbrix34.JPG,,,rotten
45,n1.JPG,,,rotten
46,n2.JPG,,,rotten
47,n3.JPG,,,non-ripe
48,n4.JPG,,,non-ripe
49,n5.JPG,,,non-ripe
50,n6.JPG,,,rotten
51,n7.JPG,,,rotten
52,n8.JPG,,,rotten
54,n10.JPG,,,non-ripe
56,n12.JPG,,,rotten
57,n13.JPG,,,rotten
58,n14.JPG,,,non-ripe
59,n15.JPG,,,non-ripe
60,n16.JPG,,,non-ripe
61,n17.JPG,,,non-ripe
62,n18.JPG,,,non-ripe
63,n19.JPG,,,non-ripe
64,n20.JPG,,,rotten
65,n21.JPG,,,rotten
66,n22.JPG,,,non-ripe
67,n23.JPG,,,non-ripe
68,n24.JPG,,,non-ripe
69,n25.JPG,,,non-ripe
70,n26.JPG,,,rotten
71,n27.JPG,,,rotten
72,n28.JPG,,,non-ripe
73,n29.JPG,,,non-ripe
74,n30.JPG,,,non-ripe
75,n31.JPG,,,rotten
76,n32.JPG,,,non-ripe
77,n33.JPG,,,non-ripe
78,n34.JPG,,,non-ripe
79,n35.JPG,,,non-ripe
80,n36.JPG,,,non-ripe
81,n37.JPG,,,non-ripe
82,n38.JPG,,,non-ripe
83,n39.JPG,,,non-ripe
84,n40.JPG,,,non-ripe
85,n41.JPG,,,non-ripe
86,n42.JPG,,,non-ripe
87,n43.JPG,,,non-ripe
88,n44.JPG,,,non-ripe
89,n45.JPG,,,rotten
90,n46.JPG,,,rotten
91,n47.JPG,,,rotten
92,n48.JPG,,,non-ripe
93,n49.JPG,,,rotten
94,n50.JPG,,,non-ripe
95,n51.JPG,,,non-ripe
96,n52.JPG,,,non-ripe
97,n53.JPG,,,non-ripe
98,n54.JPG,,,non-ripe
99,n55.JPG,,,rotten
100,n56.JPG,,,rotten
101,n57.JPG,,,rotten
102,n58.JPG,,,rotten
102,n59.JPG,,,rotten
104,n60.JPG,,,rotten
105,n61.JPG,,,rotten
106,n62.JPG,,,rotten
107,n63.JPG,,,rotten
108,n64.JPG,,,rotten
109,n65.JPG,,,rotten
110,n66.JPG,,,rotten
111,n67.JPG,,,rotten
112,n68.JPG,,,rotten
113,n69.JPG,,,rotten
114,n70.JPG,,,rotten
115,n71.JPG,,,rotten
116,n72.JPG,,,rotten
117,n73.JPG,,,rotten
118,n74.JPG,,,rotten
119,n75.JPG,,,rotten
120,n76.JPG,,,rotten
121,n77.JPG,,,rotten
122,n78.JPG,,,rotten
123,n79.JPG,,,rotten
124,n80.JPG,,,rotten
125,n81.JPG,,,rotten
126,n82.JPG,,,rotten
127,n83.JPG,,,rotten
128,n84.JPG,,,rotten
129,n85.JPG,,,rotten
130,n86.JPG,,,rotten
131,n87.JPG,,,rotten
132,n88.JPG,,,sweet
133,n89.JPG,,,sweet
134,n90.JPG,,,sweet
135,n91.JPG,,,sweet
136,n92.JPG,,,sweet
137,n93.JPG,,,sweet
138,n94.JPG,,,sweet
139,n95.JPG,,,sweet
140,n96.JPG,,,sweet
